model,fold,epoch,train_loss,val_loss,val_auc
lfp_transformer,4,21,0.001708,0.001955,0.9991
lfp_transformer,4,22,0.001699,0.002122,0.9990
lfp_transformer,4,23,0.001597,0.002091,0.9992
lfp_transformer,4,24,0.001501,0.002445,0.9991
lfp_transformer,4,25,0.001437,0.002218,0.9988
lfp_transformer,4,26,0.001695,0.001705,0.9994
lfp_transformer,4,27,0.001424,0.001884,0.9994
lfp_transformer,4,28,0.001348,0.001807,0.9994
lfp_transformer,4,29,0.001140,0.002063,0.9994
lfp_transformer,4,30,0.001020,0.001723,0.9996
lfp_transformer,4,31,0.001044,0.002322,0.9995
lfp_transformer,4,32,0.000930,0.002021,0.9995
lfp_transformer,4,33,0.000858,0.001655,0.9997
lfp_transformer,4,34,0.000717,0.002195,0.9996
lfp_transformer,4,35,0.000674,0.001978,0.9996
lfp_transformer,4,36,0.000726,0.001652,0.9997
lfp_transformer,4,37,0.000618,0.001902,0.9997
lfp_transformer,4,38,0.000595,0.001745,0.9997
lfp_transformer,4,39,0.000531,0.001809,0.9997
lfp_transformer,4,40,0.000457,0.001932,0.9997
lfp_transformer,4,41,0.000375,0.001972,0.9997
lfp_transformer,4,42,0.000485,0.001831,0.9997
lfp_transformer,4,43,0.000379,0.002008,0.9997
lfp_transformer,4,44,0.000337,0.002044,0.9997
lfp_transformer,4,45,0.000319,0.001976,0.9997
lfp_transformer,4,46,0.000426,0.001779,0.9997
lfp_transformer,4,47,0.000299,0.001749,0.9998
lfp_transformer,4,48,0.000295,0.001774,0.9998
lfp_transformer,4,49,0.000300,0.001784,0.9998
lfp_transformer,4,50,0.000331,0.001784,0.9998
lfp_transformer,4,51,0.000366,0.001774,0.9998
lfp_transformer,4,52,0.000283,0.001795,0.9998
lfp_transformer,4,53,0.000346,0.001913,0.9997
lfp_transformer,4,54,0.000311,0.001830,0.9998
lfp_transformer,4,55,0.000398,0.001939,0.9997
lfp_transformer,4,56,0.000362,0.002056,0.9998
lfp_transformer,4,57,0.000281,0.001938,0.9998
lfp_transformer,4,58,0.000373,0.001986,0.9998
lfp_transformer,4,59,0.000345,0.001818,0.9998
lfp_transformer,4,60,0.000306,0.002101,0.9998
lfp_transformer,4,61,0.000347,0.001967,0.9998
lfp_transformer,4,62,0.000493,0.002163,0.9997
lfp_transformer,4,63,0.000332,0.002095,0.9998
lfp_transformer,4,64,0.000513,0.001718,0.9998
lfp_transformer,4,65,0.000354,0.001790,0.9998
lfp_transformer,4,66,0.000384,0.002327,0.9998
lfp_transformer,4,67,0.000348,0.001526,0.9998
lfp_transformer,4,68,0.000418,0.002406,0.9998
lfp_transformer,4,69,0.000407,0.001574,0.9998
lfp_transformer,4,70,0.000380,0.002790,0.9997
lfp_transformer,4,71,0.001095,0.001561,0.9998
lfp_transformer,4,72,0.000331,0.001783,0.9998
lfp_transformer,4,73,0.000624,0.001381,0.9998
lfp_transformer,4,74,0.000546,0.001263,0.9998
lfp_transformer,4,75,0.000281,0.002681,0.9998
lfp_transformer,4,76,0.000790,0.001497,0.9998
lfp_transformer,4,77,0.000442,0.001608,0.9998
lfp_transformer,4,78,0.000672,0.001612,0.9998
lfp_transformer,4,79,0.000667,0.001670,0.9998
lfp_transformer,4,80,0.000445,0.001041,0.9999
